timestamp,temperature,humidity
2018-09-30 09:00:07,29,9
2018-09-30 09:00:08,38,70
2018-09-30 09:00:09,18,22
2018-09-30 09:00:10,13,82
2018-09-30 09:00:11,35,46
2018-09-30 09:00:12,25,51
2018-09-30 09:00:13,23,97
2018-09-30 09:00:14,21,46
2018-09-30 09:00:15,12,12
2018-09-30 09:00:16,15,32
2018-09-30 09:00:17,9,56
2018-09-30 09:00:18,39,30
2018-09-30 09:00:19,13,86
2018-09-30 09:00:20,47,45
2018-09-30 09:00:21,23,99
2018-09-30 09:00:22,9,89
2018-09-30 09:00:23,42,1
2018-09-30 09:00:24,43,88
2018-09-30 09:00:25,13,94
2018-09-30 09:00:26,31,48
2018-09-30 09:00:27,15,26
2018-09-30 09:00:28,13,65
2018-09-30 09:00:29,5,53
2018-09-30 09:00:30,14,54
2018-09-30 09:00:31,41,76
2018-09-30 09:00:32,10,48
2018-09-30 09:00:33,10,98
2018-09-30 09:00:34,24,63
2018-09-30 09:00:35,19,67
2018-09-30 09:00:36,1,74
2018-09-30 09:00:37,37,40
