timestamp,temperature,humidity
2018-09-30 09:04:07,29,9
2018-09-30 09:04:08,38,70
2018-09-30 09:04:09,18,22
2018-09-30 09:04:10,13,82
2018-09-30 09:04:11,35,46
2018-09-30 09:04:12,25,51
2018-09-30 09:04:13,23,97
2018-09-30 09:04:14,21,46
2018-09-30 09:04:15,12,12
2018-09-30 09:04:16,15,32
2018-09-30 09:04:17,9,56
2018-09-30 09:04:18,39,30
2018-09-30 09:04:19,13,86
2018-09-30 09:04:20,47,45
2018-09-30 09:04:21,23,99
2018-09-30 09:04:22,9,89
2018-09-30 09:04:23,42,1
2018-09-30 09:04:24,43,88
2018-09-30 09:04:25,13,94
2018-09-30 09:04:26,31,48
2018-09-30 09:04:27,15,26
2018-09-30 09:04:28,13,65
2018-09-30 09:04:29,5,53
2018-09-30 09:04:30,14,54
2018-09-30 09:04:31,41,76
2018-09-30 09:04:32,10,48
2018-09-30 09:04:33,10,98
2018-09-30 09:04:34,24,63
2018-09-30 09:04:35,19,67
2018-09-30 09:04:36,1,74
2018-09-30 09:04:37,37,40
