timestamp,temperature,humidity
2018-09-30 09:11:38,29,9
2018-09-30 09:11:39,38,70
2018-09-30 09:11:40,18,22
2018-09-30 09:11:41,13,82
2018-09-30 09:11:42,35,46
2018-09-30 09:11:43,25,51
2018-09-30 09:11:44,23,97
2018-09-30 09:11:45,21,46
2018-09-30 09:11:46,12,12
2018-09-30 09:11:47,15,32
2018-09-30 09:11:48,9,56
2018-09-30 09:11:49,39,30
2018-09-30 09:11:50,13,86
2018-09-30 09:11:51,47,45
2018-09-30 09:11:52,23,99
2018-09-30 09:11:53,9,89
2018-09-30 09:11:54,42,1
2018-09-30 09:11:55,43,88
2018-09-30 09:11:56,13,94
2018-09-30 09:11:57,31,48
2018-09-30 09:11:58,15,26
2018-09-30 09:11:59,13,65
2018-09-30 09:12:00,5,53
2018-09-30 09:12:01,14,54
2018-09-30 09:12:02,41,76
2018-09-30 09:12:03,10,48
2018-09-30 09:12:04,10,98
2018-09-30 09:12:05,24,63
2018-09-30 09:12:06,19,67
2018-09-30 09:12:07,1,74
2018-09-30 09:12:08,37,40
