timestamp,temperature,humidity
2018-09-30 08:57:07,29,9
2018-09-30 08:57:08,38,70
2018-09-30 08:57:09,18,22
2018-09-30 08:57:10,13,82
2018-09-30 08:57:11,35,46
2018-09-30 08:57:12,25,51
2018-09-30 08:57:13,23,97
2018-09-30 08:57:14,21,46
2018-09-30 08:57:15,12,12
2018-09-30 08:57:16,15,32
2018-09-30 08:57:17,9,56
2018-09-30 08:57:18,39,30
2018-09-30 08:57:19,13,86
2018-09-30 08:57:20,47,45
2018-09-30 08:57:21,23,99
2018-09-30 08:57:22,9,89
2018-09-30 08:57:23,42,1
2018-09-30 08:57:24,43,88
2018-09-30 08:57:25,13,94
2018-09-30 08:57:26,31,48
2018-09-30 08:57:27,15,26
2018-09-30 08:57:28,13,65
2018-09-30 08:57:29,5,53
2018-09-30 08:57:30,14,54
2018-09-30 08:57:31,41,76
2018-09-30 08:57:32,10,48
2018-09-30 08:57:33,10,98
2018-09-30 08:57:34,24,63
2018-09-30 08:57:35,19,67
2018-09-30 08:57:36,1,74
2018-09-30 08:57:37,37,40
