timestamp,temperature,humidity
2018-09-30 09:04:37,29,9
2018-09-30 09:04:38,38,70
2018-09-30 09:04:39,18,22
2018-09-30 09:04:40,13,82
2018-09-30 09:04:41,35,46
2018-09-30 09:04:42,25,51
2018-09-30 09:04:43,23,97
2018-09-30 09:04:44,21,46
2018-09-30 09:04:45,12,12
2018-09-30 09:04:46,15,32
2018-09-30 09:04:47,9,56
2018-09-30 09:04:48,39,30
2018-09-30 09:04:49,13,86
2018-09-30 09:04:50,47,45
2018-09-30 09:04:51,23,99
2018-09-30 09:04:52,9,89
2018-09-30 09:04:53,42,1
2018-09-30 09:04:54,43,88
2018-09-30 09:04:55,13,94
2018-09-30 09:04:56,31,48
2018-09-30 09:04:57,15,26
2018-09-30 09:04:58,13,65
2018-09-30 09:04:59,5,53
2018-09-30 09:05:00,14,54
2018-09-30 09:05:01,41,76
2018-09-30 09:05:02,10,48
2018-09-30 09:05:03,10,98
2018-09-30 09:05:04,24,63
2018-09-30 09:05:05,19,67
2018-09-30 09:05:06,1,74
2018-09-30 09:05:07,37,40
